file_name,signal_classification,uuid,file_index,label,dataset
00069203-0824-4136-9c99-b9f68672f23d.dat,squigglesquarepulsednarrowband,00069203-0824-4136-9c99-b9f68672f23d,000000,6,train
000739aa-89d6-4965-abf6-9b46a246604a.dat,narrowband,000739aa-89d6-4965-abf6-9b46a246604a,000001,2,train
000874dd-8d6e-44b1-8ade-21aeb5a29546.dat,narrowbanddrd,000874dd-8d6e-44b1-8ade-21aeb5a29546,000002,3,train
0009073c-4032-4b84-832a-9b81fc3b0df8.dat,brightpixel,0009073c-4032-4b84-832a-9b81fc3b0df8,000003,1,train
000c28b3-aeba-4f18-ac60-b91341921264.dat,squigglesquarepulsednarrowband,000c28b3-aeba-4f18-ac60-b91341921264,000004,6,train
000eb18b-326f-4488-9f07-b7382c01bf91.dat,narrowband,000eb18b-326f-4488-9f07-b7382c01bf91,000005,2,train
00126c99-d882-4b4f-a308-618c1b5c2613.dat,squiggle,00126c99-d882-4b4f-a308-618c1b5c2613,000006,5,train
00187356-1b8e-48e2-a2e9-b3983983d2f1.dat,squigglesquarepulsednarrowband,00187356-1b8e-48e2-a2e9-b3983983d2f1,000007,6,train
001d473c-be64-4411-8a3d-7f7160f94de4.dat,squigglesquarepulsednarrowband,001d473c-be64-4411-8a3d-7f7160f94de4,000008,6,train
001f3507-f359-4822-8d16-b7320caf2a9e.dat,squarepulsednarrowband,001f3507-f359-4822-8d16-b7320caf2a9e,000009,4,train
002193db-6f0e-4e2a-a7a4-6fc038a1b2a7.dat,squigglesquarepulsednarrowband,002193db-6f0e-4e2a-a7a4-6fc038a1b2a7,000010,6,train
0022a655-d5c7-4bf8-9b1b-91be34caa0ff.dat,squigglesquarepulsednarrowband,0022a655-d5c7-4bf8-9b1b-91be34caa0ff,000011,6,train
0023d71a-3288-4d2b-97b7-984b0f2ab017.dat,noise,0023d71a-3288-4d2b-97b7-984b0f2ab017,000012,0,train
0025bea2-116a-4b70-9dec-fbc612d72bac.dat,narrowband,0025bea2-116a-4b70-9dec-fbc612d72bac,000013,2,train
00306b87-f3a8-4442-9ba8-6e3312497cb6.dat,brightpixel,00306b87-f3a8-4442-9ba8-6e3312497cb6,000014,1,train
